0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:51 -0300] "GET /fielcorresponsal/withdraw HTTP/1.1" 401 10658
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/css/fielco_responsive.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/css/fielco_margin.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/css/fielco_lists.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/css/fielco_general.css?v=2.8.31 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/css/jquery.dataTables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-ie7.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-codes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-ie7-codes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/fontello/css/animation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/css/autocomplete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/webfontkit-font/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:58 -0300] "GET /fielcorresponsal/resources/fontello/css/fontello-embedded.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:59 -0300] "GET /fielcorresponsal/resources/text_editor/css/quill.snow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:59 -0300] "GET /fielcorresponsal/resources/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:59 -0300] "GET /fielcorresponsal/resources/Hover-master/css/hover.css HTTP/1.1" 304 -
